기준일자,통화명,국가명,매매기준율,송금_보내실때,송금_받으실때
20260216,USD,미국,1443.4,1457.5,1429.3
20260216,EUR,유럽연합,1711.01,1728.12,1693.9
20260216,JPY,일본,941.28,950.5,932.06
20260216,CNY,중국,209.57,211.66,207.48
20260216,HKD,홍콩,184.69,186.53,182.85
20260216,TWD,대만,45.98,46.48,45.48
20260216,GBP,영국,1968.65,1988.33,1948.97
20260216,OMR,오만,3749.29,3794.28,3704.3
20260216,CAD,캐나다,1059.03,1069.62,1048.44
20260216,CHF,스위스,1874.42,1893.16,1855.68
20260216,SEK,스웨덴,161.1,162.71,159.49
20260216,AUD,호주,1022.36,1032.58,1012.14
20260216,NZD,뉴질랜드,871.96,880.67,863.25
20260216,CZK,체코,70.53,71.3,69.76
20260216,CLP,칠레,1.67,1.69,1.65
20260216,TRY,튀르키예,33.02,33.38,32.66
20260216,MNT,몽골,0.4,0.4,0.4
20260216,ILS,이스라엘,467.45,473.05,461.85
20260216,DKK,덴마크,229.03,231.32,226.74
20260216,NOK,노르웨이,151.84,153.35,150.33
20260216,SAR,사우디아라비아,384.89,388.73,381.05
20260216,KWD,쿠웨이트,4707.92,4754.99,4660.85
20260216,BHD,바레인,3828.85,3867.13,3790.57
20260216,AED,아랍에미리트,392.98,396.9,389.06
20260216,JOD,요르단,2035.83,2060.25,2011.41
20260216,EGP,이집트,30.86,31.23,30.49
20260216,THB,태국,46.42,46.88,45.96
20260216,SGD,싱가포르,1143.65,1155.08,1132.22
20260216,MYR,말레이시아,370.1,373.8,366.4
20260216,IDR,인도네시아,8.59,8.67,8.51
20260216,QAR,카타르,394.91,399.64,390.18
20260216,KZT,카자흐스탄,2.94,2.97,2.91
20260216,BND,브루나이,1143.6,1157.32,1129.88
20260216,INR,인도,15.91,16.09,15.73
20260216,PKR,파키스탄,5.16,5.22,5.1
20260216,BDT,방글라데시,11.8,11.94,11.66
20260216,PHP,필리핀,24.91,25.15,24.67
20260216,MXN,멕시코,84.11,84.95,83.27
20260216,BRL,브라질,276.28,279.59,272.97
20260216,VND,베트남,5.58,5.63,5.53
20260216,ZAR,남아프리카 공화국,90.45,91.53,89.37
20260216,RUB,러시아,18.8,19.45,18.15
20260216,HUF,헝가리,4.54,4.58,4.5
20260216,PLN,폴란드,406.36,410.82,401.9
20260216,LKR,스리랑카,4.67,4.72,4.62
20260216,DZD,알제리,11.13,11.26,11.0
20260216,KES,케냐,11.19,11.32,11.06
20260216,COP,콜롬비아,0.39,0.39,0.39
20260216,TZS,탄자니아,0.55,0.55,0.55
20260216,NPR,네팔,9.95,10.06,9.84
20260216,RON,루마니아,335.8,339.49,332.11
20260216,LYD,리비아,228.91,231.65,226.17
20260216,MOP,마카오,179.23,181.38,177.08
20260216,MMK,미얀마,0.69,0.69,0.69
20260216,ETB,에티오피아,9.28,9.39,9.17
20260216,UZS,우즈베키스탄,0.12,0.12,0.12
20260216,KHR,캄보디아,0.36,0.36,0.36
20260216,FJD,피지,657.97,665.86,650.08
